Game Title,Last Updated,Player count,Release Date,Publisher
Candy Crush Saga,24-Mar-23,500 million,12-Apr-12,King
Call of Duty: Mobile,21-May,500 million downloadsb,01-Oct-19,Activision
Among Us,20-Nov,485 million,15-Jun-18,InnerSloth
Mini World,20-Apr,400 million,26-Dec-15,Miniwan
Dragon Ball Z: Dokkan Battle,21-Aug,350 million,30-Jan-15,Bandai Namco Entertainment
Sonic Dash,20-Feb,350 million,07-Mar-13,Sega
Helix Jump,18-Dec,334 million,10-Feb-18,Voodoo
Gardenscapes: New Acres,20-May,324 million,16-Aug,Playrix
Homescapes,20-May,312 million,17-Aug,Playrix
PUBG Mobile,23-Aug,300 million,18-Mar,Tencent games
Super Mario Run,18-Aug,300 million,15-Dec-16,Nintendo
Township,20-May,274 million,24-Feb-12,Playrix
Knives Out,18-Sep,250 million,17-Nov,NetEase
Angry Birds 2,19-Dec,230 million,30-Jul-15,Rovio Entertainment
Honor of Kings / Arena of Valor,17-Dec,200 million peak monthly players,26-Nov-15,Tencent Games
QQ Speed Mobile / Speed Drifters,20-Jan,200 million,29-Dec-17,TiMi Studios / Tencent Games / Garena
Fishdom,20-May,173 million,18-Jun-08,Playrix
Rise Up,18-Dec,162 million,2018,Serkan Özyılmaz
PES 2018 Mobile,18-Aug,150 million,12-Sep-17,Konami
War Robots,20-Jan,150 million,14-Apr-14,Pixonic
World of Tanks,16-Mar,140 million,12-Aug-10,Wargaming
Mario Kart Tour,19-Oct,123.9 million,25-Sep-19,Nintendo
Ice Age Village,2013,120 million,05-Apr-12,Gameloft
FIFA Mobile (Now EA FC),18-Jan,113 million,01-Oct-16,EA Sports
Subway Surfers,19-Jul,100 million monthly players,24-May-12,SYBO Games
Tiao Yi Tiao,18-Jan,100 million peak daily players,17-Dec,Tencent Games
Drag Racing,13-Feb,100 million,11-Apr,Creative Mobile
Junior Three Kingdoms,18-Jan,100 million,15-Mar,Youzu Interactive
Ludo King,18-Dec,100 million,17-Dec-16,Gametion Technologies Pvt Ltd
One Piece Treasure Cruise,19-Feb,100 million,12-May-14,Bandai Namco Entertainment
Star Wars: Galaxy of Heroes,21-Nov,100 million,24-Nov-15,Electronic Arts
White Cat Project,16-Jun,100 million,14-Jul-14,Colopl
Hearthstone,18-Nov,100 million,11-Mar-14,Blizzard Entertainment
Yu-Gi-Oh! Duel Links,19-Oct,100 million,17-Nov-16,Konami
Love Nikki-Dress UP Queen,19-May,100 million,20-May-15,Tencent Games
Sky: Children of the Light,21-Jul,100 million,18-Jul-19,thatgamecompany
Mr Love: Queen's Choice,19-Jul,90 million,14-Dec-17,Elex
The Battle Cats,23-Aug,84 million,17-Sep-14,PONOS
Disney Tsum Tsum,18-Nov,80 million,29-Jan-14,Line Corporation
Puzzle & Dragons,19-Jan,80 million,20-Feb-12,GungHo Online Entertainment
The Simpsons: Tapped Out,20-Apr,80 million,29-Feb-12,Electronic Arts
Marvel: Avengers Alliance,15-Mar,70 million,01-Mar-12,Disney Interactive
Genshin Impact,23-Feb,65 million,28-Sep-20,Hoyoverse
Angry Birds Friends,13-Aug,60 million,13-Feb-12,Rovio Entertainment
Seven Knights,21-Feb,60 million,05-Feb-16,Netmarble Japan
Fate/Grand Order,21-Feb,57 million,30-Jul-15,Aniplex / Type-Moon
Bleach: Brave Souls,21-Feb,55 million,23-Jul-15,KLab
Gods of Boom,18-Oct,55 million,18-May-17,Game Insight
Final Fantasy XV: A New Empire,19-Jan,51 million,29-Jun-17,MZ
Clash Royale,18-Sep,50 million daily players,02-Mar-16,Supercell
Flappy Bird,14-Feb,50 million,24-May-13,dotGears
LINE Rangers,18-Mar,50 million,28-Feb-14,Line Corporation
